tag,scalar_value,global_step
Mean Reward,78.20202020202021,256
Loss,0.03414865562885757,257
Epsilon,0.1,257
Reward,491.0,257
Mean Reward,82.33,257
Loss,0.035964854240515515,258
Epsilon,0.1,258
Reward,190.0,258
Mean Reward,83.07070707070707,258
Loss,0.03986249692704394,259
Epsilon,0.1,259
Reward,166.0,259
Mean Reward,83.9,259
Loss,0.036328939462571846,260
Epsilon,0.1,260
Reward,182.0,260
Mean Reward,84.62626262626263,260
Loss,0.040344924475644195,261
Epsilon,0.1,261
Reward,137.0,261
Mean Reward,85.15,261
Loss,0.03449161005318983,262
Epsilon,0.1,262
Reward,182.0,262
Mean Reward,85.8989898989899,262
Loss,0.04237839524520914,263
Epsilon,0.1,263
Reward,148.0,263
Mean Reward,86.52,263
Loss,0.038991840824753314,264
Epsilon,0.1,264
Reward,222.0,264
Mean Reward,87.28282828282828,264
Loss,0.0393639491310856,265
Epsilon,0.1,265
Reward,138.0,265
Mean Reward,87.79,265
Loss,0.03242436972019883,266
Epsilon,0.1,266
Reward,144.0,266
